       table_name       |                                                                                                                                                                                                                                                columns                                                                                                                                                                                                                                                 
------------------------+--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
 academic_calender      | ac_cl_id integer, ev_id integer, a_y_id integer, description text, start_date date, end_date date, u_br_id integer, reg_date date
 academic_year          | a_y_id integer, academic_name character varying, started date, ended date, state character varying, u_br_id integer, reg_date date
 acc_category           | ac_cat_id integer, type character varying
 account_transfer       | acc_tr_id integer, from_acc integer, to_acc integer, amount numeric, description character varying, u_br_id integer, reg_date timestamp without time zone
 account_type           | ac_ty_id integer, type character varying, ac_cat_id integer, state character varying, u_br_id integer
 accounts               | acc_id integer, acc_name character varying, institution character varying, balance numeric, br_id integer, state character varying, u_br_id integer, reg_date timestamp without time zone
 activity               | act_id integer, activity_name character varying, description text, state character varying, br_id_sp integer, created_at timestamp without time zone
 activity_type          | ac_id integer, type character varying
 address                | add_id integer, district character varying, village character varying, reg_date timestamp without time zone
 alerts                 | al_id integer, body text, lang_id integer, title character varying
 amount_type            | am_ty_id integer, name character varying, reg_date timestamp without time zone
 asset_order            | as_or_id integer, ty_id integer, p_id integer, description character varying, state character varying, po_number character varying, freight numeric, or_date timestamp without time zone, u_br_id integer
 asset_payment          | ass_pay_id integer, mm_id integer, p_id integer, amount numeric, acc_id integer, description character varying, num character varying, pay_date timestamp without time zone, reg_date timestamp without time zone, u_br_id integer
 asset_transaction      | as_tr_id integer, as_or_id integer, ass_id integer, discription character varying, qty numeric, price numeric, reg_date timestamp without time zone, u_br_id integer
 assets                 | ass_id integer, ac_ty_id integer, description character varying, balance numeric, amount numeric, dep_amount numeric, reg_date timestamp without time zone, u_br_id integer
 assign_class_exam      | a_c_ex integer, er_id integer, cl_id integer, b_id integer, state character varying, u_br_id integer, reg_date timestamp without time zone
 assign_student_room    | ass_std_ro_id integer, std_cl_id integer, ro_id integer, e_r_id integer, serial_num integer, sh_id integer, reg_date timestamp without time zone, u_br_id integer
 assign_teacher_room    | ass_t_ro_id integer, ro_id integer, emp_id integer, d_id integer, e_r_id integer, sh_id integer, pe_id integer, reg_date timestamp without time zone, u_br_id integer
 batch                  | b_id integer, batch_name character varying
 branch                 | br_id integer, br_name character varying, location character varying, manager character varying, manager_tel character varying, fg text, logo_image text, banner_image text, contacts text, state character varying, reg_date timestamp without time zone
 bus                    | bus_id integer, bus_name character varying, emp_id integer, targo character varying, u_br_id integer, reg_date timestamp without time zone
 certificate            | crt_id integer, serial_number character varying, p_id integer, description text, ishue_date date, reg_date date, u_br_id integer
 chapters               | chap_id integer, chapter character varying
 charge                 | ch_id bigint, std_cl_id bigint, amount numeric, discount numeric, reason character varying, state character varying, reg_date timestamp without time zone, u_br_id integer
 charge_2025            | ch_id bigint, std_cl_id bigint, amount numeric, discount numeric, reason character varying, state character varying, reg_date timestamp without time zone, u_br_id integer
 charge_2026            | ch_id bigint, std_cl_id bigint, amount numeric, discount numeric, reason character varying, state character varying, reg_date timestamp without time zone, u_br_id integer
 charge_2027            | ch_id bigint, std_cl_id bigint, amount numeric, discount numeric, reason character varying, state character varying, reg_date timestamp without time zone, u_br_id integer
 charge_old             | ch_id integer, std_cl_id integer, amount numeric, discount numeric, reason character varying, state character varying, reg_date timestamp without time zone, u_br_id integer
 class                  | cl_id integer, class character varying, lev_id integer, gr_id integer, state character varying, br_id integer, u_br_id integer, reg_date date, sh_id integer
 class_formaster        | c_f_id integer, cl_id integer, emp_id integer, std_id integer, a_y_id integer, state character varying, u_br_id integer, reg_date date
 closing                | cl_id integer, start_date timestamp without time zone, close_date timestamp without time zone, u_br_id integer
 complain               | com_id integer, name character varying, phone character varying, cabasho text, state character varying, comp_username character varying, reg_date date, u_br_id integer
 contact_title          | con_t_id integer, tt_id integer, emp_br_id integer, contact_phone character varying, email character varying, signature_image text, stamp text, state character varying, reg_date timestamp without time zone, u_br_id integer
 day                    | d_id integer, day character varying
 depriciation_account   | dep_ac_id integer, ass_id integer, amount numeric, reg_date timestamp without time zone, u_br_id integer
