      child_table       |   child_col   |     parent_table     | parent_col 
------------------------+---------------+----------------------+------------
 academic_calender      | a_y_id        | academic_year        | a_y_id
 academic_calender      | ev_id         | event                | ev_id
 academic_calender      | u_br_id       | user_branch          | u_br_id
 academic_year          | u_br_id       | user_branch          | u_br_id
 acc_category           | ac_cat_id     | acc_category         | ac_cat_id
 account_transfer       | from_acc      | accounts             | acc_id
 account_transfer       | to_acc        | accounts             | acc_id
 account_transfer       | u_br_id       | user_branch          | u_br_id
 account_type           | u_br_id       | user_branch          | u_br_id
 accounts               | br_id         | branch               | br_id
 accounts               | u_br_id       | user_branch          | u_br_id
 asset_order            | p_id          | people               | p_id
 asset_order            | ty_id         | types                | ty_id
 asset_order            | u_br_id       | user_branch          | u_br_id
 asset_payment          | acc_id        | accounts             | acc_id
 asset_payment          | mm_id         | money_methods        | mm_id
 asset_payment          | p_id          | people               | p_id
 asset_payment          | u_br_id       | user_branch          | u_br_id
 asset_transaction      | as_or_id      | asset_order          | as_or_id
 asset_transaction      | ass_id        | assets               | ass_id
 asset_transaction      | u_br_id       | user_branch          | u_br_id
 assets                 | ac_ty_id      | account_type         | ac_ty_id
 assets                 | u_br_id       | user_branch          | u_br_id
 assign_class_exam      | b_id          | branch               | br_id
 assign_class_exam      | cl_id         | class                | cl_id
 assign_class_exam      | er_id         | exam_reg             | ex_reg_id
 assign_class_exam      | u_br_id       | user_branch          | u_br_id
 assign_student_room    | e_r_id        | exam_reg             | ex_reg_id
 assign_student_room    | ro_id         | rooms                | r_id
 assign_student_room    | sh_id         | shift                | sh_id
 assign_student_room    | std_cl_id     | student_class        | std_cl_id
 assign_student_room    | u_br_id       | user_branch          | u_br_id
 assign_teacher_room    | d_id          | day                  | d_id
 assign_teacher_room    | e_r_id        | exam_reg             | ex_reg_id
 assign_teacher_room    | emp_id        | employee             | emp_id
 assign_teacher_room    | pe_id         | period               | pr_id
 assign_teacher_room    | ro_id         | rooms                | r_id
 assign_teacher_room    | sh_id         | shift                | sh_id
 assign_teacher_room    | u_br_id       | user_branch          | u_br_id
 bus                    | emp_id        | employee             | emp_id
 bus                    | u_br_id       | user_branch          | u_br_id
 certificate            | p_id          | people               | p_id
 certificate            | u_br_id       | user_branch          | u_br_id
 charge_old             | std_cl_id     | student_class        | std_cl_id
 charge_old             | u_br_id       | user_branch          | u_br_id
 class                  | br_id         | branch               | br_id
 class                  | gr_id         | grade                | gr_id
 class                  | lev_id        | levels               | lev_id
 class                  | sh_id         | shift                | sh_id
 class                  | u_br_id       | user_branch          | u_br_id
 class_formaster        | a_y_id        | academic_year        | a_y_id
 class_formaster        | cl_id         | class                | cl_id
 class_formaster        | emp_id        | employee             | emp_id
 class_formaster        | std_id        | student              | std_id
 class_formaster        | u_br_id       | user_branch          | u_br_id
 closing                | u_br_id       | user_branch          | u_br_id
 complain               | u_br_id       | user_branch          | u_br_id
 contact_title          | tt_id         | title                | tt_id
 contact_title          | u_br_id       | user_branch          | u_br_id
 depriciation_account   | ass_id        | assets               | ass_id
 depriciation_account   | u_br_id       | user_branch          | u_br_id
 employee               | br_id         | branch               | br_id
 employee               | j_id          | job                  | j_id
 employee               | p_id          | people               | p_id
 employee               | sh_id         | shift                | sh_id
 employee               | tt_id         | title                | tt_id
 employee               | u_br_id       | user_branch          | u_br_id
 employee_attendance    | emp_sch_id    | employee_scheduale   | emp_sch_id
 employee_attendance    | u_br_id       | user_branch          | u_br_id
 employee_charge        | emp_id        | employee             | emp_id
 employee_charge        | u_br_id       | user_branch          | u_br_id
 employee_payment       | acc_id        | accounts             | acc_id
 employee_payment       | emp_ch_id     | employee_charge      | emp_ch_id
 employee_payment       | u_br_id       | user_branch          | u_br_id
 employee_scheduale     | day_id        | day                  | d_id
 employee_scheduale     | emp_id        | employee             | emp_id
 employee_scheduale     | sh_id         | shift                | sh_id
 employee_scheduale     | u_br_id       | user_branch          | u_br_id
 employee_vocation      | emp_id        | employee             | emp_id
 employee_vocation      | u_br_id       | user_branch          | u_br_id
